	hotel_name	city_int	price	quality_test	total_rat	premium	lat	lon	part_total_rat	breakfast	cleanliness	comfort	facilities	food	hotel_condition	location	room	service	value_for_money	double_bed	king_bed	queen_bed	individual_bed	four_bed	two_ind_beds	five_bed	six_bed	triple	water_sports	winter_sports	family	party	fitness	gay_friendly	gourmets	big_groups	honey_moon	business	adults_only	single_status	pet_travelers	atrapalo_rc	customer_alliance_rc	expedia_rc	holiday_check_rc	hoteles_rc	hotelsclick_rc	splendia_rc	superbreak_rc	vinivi_rc	zoover_rc	hostelbookers_rc	atrapalo_r	customer_alliance_r	expedia_r	holiday_check_r	hoteles_r	hotelsclick_r	splendia_r	superbreak_r	vinivi_r	zoover_r	hostelbookers_r	air_conditioner	bar_in_hotel	gym	pet_allowed	parking	pool	restaurant	spa	wifi_room	wifi_hall	air_conditioner_free	bar_in_hotel_free	gym_free	pet_allowed_free	parking_free	pool_free	restaurant_free	spa_free	wifi_room_free	wifi_hall_free	hotel_type	neighbourhood	is_hotel_very_centric	is_hotel_centric	is_neighbourhood_very_centric	city_name	email	phone	postal_code	star_count	street	type	web
125	Occidental Atenea Mar 	2	110.0	1	0	0	41.402557	2.212145	3443	73	87	83	81	75	83	81	81	82	78	1	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	654.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	84.0	80.0	82.0	82.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	Diagonal Mar i el Front Maritim del Poblenou	False	False	False	Barcelona	ateneamar@barcelo.com	+34(93)5316040	08019	4	Paseo Garcia Faria 37 - 47	[u'Hotel']	http://www.barceloateneamar.com
126	Bcn-Accommodation	2	105.0	0	0	0	41.384689	2.169052	913	0	78	74	74	0	0	91	80	81	79	1	0	0	0	1	0	1	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	el Raval	True	False	True	Barcelona	info@bcn-accommodation.com	+34(67)0234702	08002	0	Tallers, 19	[u'Apartotel']	http://www.bcnacommodation.com
127	Happy People Sagrada Familia	2	151.0	0	0	0	41.412685	2.180586	350	0	85	82	81	0	84	80	0	83	79	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406.0	0.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3	el Camp de l'Arpa del Clot	False	True	False	Barcelona	info@happypeoplebarcelona.com	+34(935)047470	08029	3	Corcega, 703	[u'Casa / Apartamento']	http://happypeoplebarcelona.com
128	NH Porta Barcelona	2	65.0	0	0	0	41.377262	2.077628	1948	76	86	80	78	79	82	67	80	83	81	0	0	1	1	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	70.0	0.0	80.0	78.0	80.0	0.0	0.0	0.0	0.0	80.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False	Barcelona	exportabarcelona@nh-hotels.com	+34(93)4802501	08960	3	Avda. Generalitat de Catalunya 6	[u'Hotel']	http://www.nh-hotels.com/hotel/nh-porta-barcelona
129	Attica 21 Barcelona Mar	2	107.0	0	0	0	41.405231	2.211729	1905	73	86	82	78	78	83	77	78	83	78	1	0	0	1	0	0	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	72.0	0.0	82.0	87.0	82.0	0.0	0.0	0.0	0.0	73.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	Diagonal Mar i el Front Maritim del Poblenou	False	False	False	Barcelona	info.bcnmar@attica21hotels.com	+34(93)2665200	08019	4	Carrer Provencals, 10	[u'Hotel']	http://www.attica21hotels.com/es/6/hotel-attica21-barcelona-mar
130	BCN Urban Hotels Del Comte	2	112.0	0	0	0	41.382702	2.1573	3477	70	87	77	78	78	81	85	75	81	79	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	79.0	0.0	82.0	92.0	82.0	0.0	0.0	0.0	0.0	81.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	la Nova Esquerra de l'Eixample	False	True	True	Barcelona	reservas@hoteldelcomte.es	+34(93)3231258 	08015	2	Carrer de la Diputacio,142-148	[u'Hotel']	http://www.hoteldelcomte.es
131	Medinaceli	2	135.0	0	0	0	41.378201	2.1786	1386	68	82	74	74	73	81	89	75	77	74	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	79.0	0.0	76.0	78.0	76.0	0.0	0.0	0.0	0.0	78.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	el Barri Gotic	False	True	True	Barcelona	medinaceli@gargallohotels.es	+34(93)4817725	08002	4	Duc de Medinaceli, 8 	[u'Hotel']	http://www.gargallohotels.es
132	Fernando	2	78.0	0	0	0	41.381447	2.175456	433	72	80	72	77	70	72	93	71	80	81	1	0	0	0	1	1	0	1	1	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	406.0	0.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	70.0	0.0	72.0	0.0	0.0	0.0	0.0	80.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	4	el Barri Gotic	False	True	True	Barcelona	reservas@hfernando.com	+34(93)3017993	08002	0	Ferran 31	[u'Hostal']	http://www.hfernando.com
133	Medium Prisma	2	77.0	0	0	0	41.389099	2.1428	1613	79	84	70	74	76	78	76	76	81	75	1	0	0	1	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	74.0	85.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	les Corts	False	True	False	Barcelona	prisma@mediumhoteles.com	+34(93)4394207	08029	2	Av.Josep Tarradellas, 119-121	[u'Hotel']	http://www.mediumhoteles.com/en/spain/barcelona/sants/hotel-medium-prisma
134	Nuevo Triunfo	2	88.0	0	0	0	41.373199	2.1699	1425	0	81	69	69	65	76	82	72	82	74	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	74.0	77.0	74.0	0.0	0.0	0.0	0.0	71.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	el Poble Sec	False	True	False	Barcelona	info@hotelnuevotriunfo.com	+34(93)4425933	08004	2	Cabanes 34	[u'Hotel']	http://www.hotelnuevotriunfo.com
135	Haromar	2	27.0	0	0	1	41.610802	2.6515	1487	67	75	67	69	70	70	84	67	73	76	1	0	0	1	0	0	0	0	0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	53.0	0.0	68.0	47.0	68.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False	Barcelona	haromar@haromar.com	+34(93)7690716 	08370	2	Passeig de les Roques, 32	[u'Hotel']	http://www.haromar.com
136	Acacia Premium Suite	2	113.0	0	0	0	41.388	2.1512	776	74	89	83	80	75	84	86	83	89	81	1	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	90.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	l'Antiga Esquerra de l'Eixample	False	True	True	Barcelona	info@aparthotelacacia.com	+34(93)4540737	08036	4	Comte D'Urgell 194	[u'Hotel']	http://www.acaciasuite.com/
137	Catalonia Gran Verdi	2	59.0	0	0	0	41.555397	2.098035	546	73	78	75	78	66	75	82	69	80	76	1	0	0	1	0	0	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	71.0	0.0	70.0	82.0	70.0	0.0	0.0	0.0	0.0	80.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False	Barcelona	verdi@hoteles-catalonia.es	+34(93)7231111	08208	4	Avda. Francesc Macia, 62	[u'Hotel']	http://www.hoteles-catalonia.com/es/nuestros_hoteles/europa/espanya/catalunya/sabadell/gran_hotel_verdi_catalonia/index.jsp
138	TRYP Barcelona Condal Mar	2	99.0	1	0	0	41.412601	2.2092	2902	80	86	83	81	78	82	63	83	82	79	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	77.0	0.0	82.0	85.0	84.0	0.0	0.0	0.0	0.0	86.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	Provencals del Poblenou	False	False	False	Barcelona	tryp.condal.mar@melia.com	+34(93)3077727	8019	4	C/ Cristobal De Moura, 138	[u'Hotel']	http://www.tryphotels.com/en/tryp-condal-mar-hotel-barcelona-spain.html
139	Hesperia Fira Suites	2	96.0	0	0	0	41.346916	2.107841	1574	77	86	85	81	79	78	72	83	85	83	0	1	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	86.0	77.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1	outskirt	False	False	False	Barcelona	hotel@hesperia-firasuites.com	+34(93)5035970	08907	5	C/ Mare de Deu de Bellvitge, 3	[u'Apartotel']	http://www.nh-hotels.com/hotel/hesperia-fira-suites
140	Holiday Inn Express Sant Cugat	2	72.0	0	0	0	41.489037	2.08251	1476	74	86	80	81	75	81	71	80	84	85	1	0	1	1	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	654.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	82.0	68.0	84.0	80.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	outskirt	False	False	False	Barcelona	express.santcugat@continentalhotels.eu	+34(93)5612500 	08174	3	Avinguda de Can Fatjo dels Aurons, s/n	[u'Hotel']	http://www.ichotelsgroup.com/h/d/ex/1/es/hd/bcnsc?_requestid=168687
141	Barcelona Golf Resort & Spa	2	40.0	0	0	0	41.493053	1.849716	2484	73	79	80	77	68	73	73	78	79	82	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	82.0	0.0	78.0	63.0	78.0	0.0	0.0	0.0	0.0	90.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False	Barcelona	info@hotelbarcelonagolf.com	+34(93)7756800	08635	4	Ctra. Martorell Capellades, km19,5	[u'Hotel']	http://www.hotelbarcelonagolf.com
142	Barcelona Century	2	105.0	0	0	0	41.386101	2.1548	347	73	85	77	76	77	0	80	74	84	79	1	0	0	0	0	1	0	0	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	0.0	57.0	452.0	654.0	0.0	0.0	0.0	317.0	0.0	71.0	0.0	0.0	77.0	80.0	82.0	0.0	0.0	0.0	76.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	l'Antiga Esquerra de l'Eixample	False	True	True	Barcelona	info@barcelonacentury.com	+34(93)4534400	08011	3	Valencia 154	[u'Hotel']	http://www.hotelcenturypark.com/
143	Four Points by Sheraton Barcelona Diagonal	2	102.0	1	0	0	41.405399	2.1962	2073	77	89	86	83	81	84	81	85	87	85	0	1	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	78.0	0.0	90.0	87.0	90.0	0.0	0.0	0.0	0.0	84.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	el Poblenou	False	False	False	Barcelona	reservation@fourpointsbarcelona.com	+34(93)4868800	08018	3	Av. Diagonal, 161-163	[u'Hotel']	http://www.fourpointsbarcelonadiagonal.com
144	Apartamentos Descartes	2	87.0	0	0	0	41.400352	2.143148	115	0	85	83	80	0	0	82	81	90	82	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	Sant Gervasi - Galvany	False	False	False	Barcelona	info@apartamentosdescartes.com	+34(93)2402292	08006	0	Descartes 4	[u'Apartotel']	http://www.apartamentosdescartes.com
145	Senator Barcelona  Spa	2	98.0	1	0	0	41.37674	2.113766	3870	78	82	80	78	65	79	75	79	77	76	0	1	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	78.0	0.0	76.0	77.0	78.0	0.0	0.0	0.0	0.0	74.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	la Maternitat i Sant Ramon	False	False	False	Barcelona	senator.bcn@playasenator.com	+34(93)2609900	08028	4	Cardenal Reig 11	[u'Hotel']	http://www.hotelsenatorbarcelona.com
146	Sagrada Familia	2	101.0	0	0	0	41.40588	2.171988	3039	73	82	76	77	79	80	84	75	81	79	1	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	76.0	0.0	80.0	77.0	80.0	0.0	0.0	0.0	0.0	81.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	la Sagrada Familia	False	True	False	Barcelona	info@hotelsagradafamilia.com	+34(93)4366115	08025	3	Corcega 541	[u'Hotel']	http://www.hotelsagradafamilia.com
147	ibis Barcelona Ripollet	2	51.0	0	0	0	41.495457	2.153181	519	0	86	85	80	75	82	75	83	85	83	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	86.0	77.0	84.0	0.0	0.0	0.0	0.0	80.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5	outskirt	False	False	False	Barcelona	h3677@accor.com	+34(93)5943873 	08291	2	Can Masachs 18-20	[u'Hotel']	http://www.accorhotels.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=3677&sourceid=fh-ibh-b1-3677&merchantid=par-triv-&xtor=al-171-[trivago]-[zz]-[0]-[ibh]-[0]
148	Sitges	2	50.0	0	0	0	41.232883	1.795468	1220	80	89	82	82	74	84	81	77	86	81	1	0	0	1	0	0	0	0	1	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	75.0	0.0	82.0	75.0	82.0	0.0	0.0	0.0	0.0	80.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False	Barcelona	info@hotelsitges.es	+34(93)8941391	08870	3	Avinguda Mare de Deu del Vinyet, 63	[u'Hotel']	http://www.hotelsitges.es
149	Air Rooms	2	175.0	0	0	0	41.324596	2.09349	836	0	86	77	75	74	83	87	75	79	67	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	43.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5	outskirt	False	False	False	Barcelona	booking@bcn-airrooms.com	+34(93)3758600	08820	4	Centro de Negocios del Aeropuerto de Barcelona Terminal 1	[u'Hotel']	http://www.bcn-airmeetings.com
150	Operaramblas	2	78.0	0	0	1	41.380154	2.172809	2629	0	84	75	74	60	0	93	74	79	81	0	0	0	1	0	1	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	4	el Raval	False	True	True	Barcelona	info@operaramblas.com	+34(93)3188201	08001	2	Sant Pau 20	[u'Hostal']	http://www.operaramblas.com
151	H10 Montcada	2	189.0	0	0	0	41.384399	2.1785	2909	76	90	79	83	80	84	94	78	89	82	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	654.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	86.0	90.0	88.0	80.0	0.0	0.0	0.0	86.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	Sant Pere, Santa Caterina i la Ribera	False	True	False	Barcelona	reservas.hm@h10hotels.com	+34(93)2688570	08003	4	Via Laietana 24	[u'Hotel']	http://www.hotelmontcada.com
152	Leonardo Boutique Hotel Barcelona Sagrada Familia	2	109.0	0	0	0	41.411015	2.185559	1108	77	90	84	83	78	85	82	83	90	84	1	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	76.0	0.0	86.0	82.0	86.0	0.0	0.0	0.0	0.0	84.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	el Camp de l'Arpa del Clot	False	True	False	Barcelona	info.sagradafam@leonardo-hotels.com	+34(93)2314258	08026	3	Mallorca, 606	[u'Hotel']	https://www.leonardo-hotels.com/leonardo-boutique-hotel-barcelona-sagrada-familia
153	Zenit Barcelona	2	87.0	1	0	0	41.395008	2.146929	1393	78	87	82	78	81	83	81	78	85	79	1	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	80.0	0.0	84.0	83.0	82.0	0.0	0.0	0.0	0.0	87.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	Sant Gervasi - Galvany	False	True	False	Barcelona	barcelona@zenithoteles.com	+34(93)2411800	08021	4	Santalo, 8	[u'Hotel']	http://barcelona.zenithoteles.com/
154	Princep de Viana	2	105.0	0	0	0	41.387917	2.169919	490	0	89	85	83	0	0	90	0	87	83	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	383.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6	la Dreta de l'Eixample	True	False	True	Barcelona		+34(93)3152265	08002	0	Principe de Viana, 16	[u'Pensi\xf3n']	
155	Barcelona 226 Center Exclusive	2	500.0	0	0	1	41.395252	2.150684	579	0	88	83	85	0	72	87	79	87	85	0	0	0	0	0	0	1	1	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406.0	0.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	Sant Gervasi - Galvany	False	True	False	Barcelona	info@barcelona226.com	+34(93)2750435	08006	0	Carrer D'Aribau 226	[u'Hotel']	http://www.barcelona226.com
156	BestPrice Diagonal	2	74.0	0	0	0	41.409573	2.209639	21	0	86	83	78	72	0	81	75	90	84	1	0	0	1	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	Diagonal Mar i el Front Maritim del Poblenou	False	False	False	Barcelona	info@hotelbestpricediagonal.com	+34(93)5991271	08019	1	Avenida Diagonal, 70, Sant Marti	[u'Hotel']	http://hotelbestpricediagonal.com/en/hotel
157	Hotel Arrahona	2	62.0	0	0	0	41.531567	2.114182	1704	77	86	84	78	74	85	72	81	81	82	1	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0	84.0	42.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False	Barcelona	info@arrahonahotel.com	+34(93)7205320	08203	3	Barcelona, 446	[u'Hotel']	http://www.arrahonahotel.com
